index,value
675,-406
676,-402
677,-428
678,-430
679,-432
680,-463
681,-498
682,-504
683,-477
684,-417
685,-426
686,-483
687,-487
688,-492
689,-523
690,-501
691,-413
692,-455
693,-474
694,-411
695,-408
696,-296
697,-28
698,317
699,687
700,1224
701,1259
702,698
703,4
704,-608
705,-782
706,-634
707,-576
708,-656
709,-315
710,278
711,8287
712,16319
713,3215
714,-1693
715,-1393
716,-1496
717,-1070
718,-1144
719,-837
720,-1172
721,-1147
722,-1045
723,-749
724,-510
725,-418
726,-443
727,-454
728,-482
729,-421
730,-307
731,-291
732,-161
733,50
734,411
735,882
736,1143
737,1483
738,1750
739,1981
740,2165
741,2038
742,1554
743,1027
744,316
745,-105
746,-260
747,-411
748,-479
749,-567
750,-581
751,-569
752,-515
753,-459
754,-411
755,-364
756,-327
757,-299
758,-317
759,-288
760,-307
761,-328
762,-364
763,-390
764,-391
765,-392
766,-417
767,-401
768,-398
769,-375
770,-355
771,-388
772,-399
773,-423
774,-451
775,-448
776,-449
777,-460
778,-487
779,-502
780,-469
781,-443
782,-395
783,-366
784,-324
785,-302
786,-103
787,222
788,608
789,1150
790,1340
791,1069
792,502
793,-489
794,-811
795,-656
796,-720
797,-634
798,-399
799,196
800,5509
801,15796
802,4998
803,-919
804,-736
805,-1273
806,-1002
807,-1227
808,-1021
809,-1219
810,-1411
811,-1111
812,-990
813,-583
814,-437
815,-507
816,-483
817,-468
818,-434
819,-476
820,-434
821,-251
822,102
823,301
824,647
825,999
826,1381
827,1797
828,2086
829,2242
830,2102
831,1715
832,1027
833,320
834,-181
835,-348
836,-477
837,-586
838,-654
839,-670
840,-589
841,-486
842,-398
843,-366
844,-368
845,-387
846,-360
847,-317
848,-335
849,-343
850,-342
851,-298
852,-332
853,-391
854,-392
855,-424
856,-447
857,-422
858,-418
859,-409
860,-379
861,-350
862,-370
863,-405
864,-419
865,-425
866,-411
867,-381
868,-401
869,-432
870,-465
871,-513
872,-518
873,-452
874,-424
875,-407
876,-395
877,-373
878,-234
879,128
880,494
881,822
882,1180
883,1177
884,525
885,-217
886,-813
887,-753
888,-932
889,-754
890,-1255
891,-653
892,2308
893,10899
894,11167
895,1180
896,-1100
897,-1176
898,-1492
899,-1311
900,-1166
901,-1124
902,-1560
903,-1297
904,-1233
905,-780
906,-578
907,-560
908,-576
909,-566
910,-518
911,-510
912,-497
913,-383
914,-92
915,197
916,634
917,928
918,1219
919,1530
920,1975
921,2248
922,2094
923,1801
924,1153
925,527
926,-92
927,-378
928,-487
929,-629
930,-779
931,-759
932,-744
933,-623
934,-498
935,-459
936,-441
937,-410
938,-417
939,-401
940,-399
941,-392
942,-360
943,-357
944,-387
945,-390
946,-379
947,-399
948,-405
949,-389
950,-406
951,-413
952,-440
953,-454
954,-425
955,-420
956,-405
957,-396
958,-367
959,-378
960,-412
961,-439
962,-469
963,-467
964,-444
965,-462
966,-435
967,-411
968,-418
969,-403
970,-390
971,-331
972,-58
973,286
974,639
975,1152
976,1321
977,975
978,341
979,-449
980,-753
981,-710
982,-693
983,-571
984,-385
985,228
986,5555
987,15417
988,5443
989,-506
990,-697
991,-1056
992,-909
993,-1091
994,-789
995,-918
996,-957
997,-701
998,-608
999,-270
1000,1222
1001,1982
1002,945
1003,-68
1004,-613
1005,-921
1006,-612
1007,-664
1008,-786
1009,-751
1010,-717
1011,-738
1012,-592
1013,-619
1014,-587
1015,-563
1016,-499
1017,-443
1018,-353
1019,-401
1020,-330
1021,-292
1022,-412
1023,-359
1024,-556
1025,-671
1026,-609
1027,-462
1028,-484
1029,-534
1030,-611
1031,-560
1032,-537
1033,-680
1034,-682
1035,-547
1036,-568
1037,-604
1038,-576
1039,-544
1040,-298
1041,-19
1042,21
1043,74
1044,374
1045,527
1046,431
1047,35
1048,-374
1049,-685
1050,-831
1051,-1068
1052,-1325
1053,-1442
1054,-1331
1055,-1346
1056,-990
1057,-933
1058,-569
1059,-231
1060,7631
1061,13949
1062,2713
1063,-113
1064,-599
1065,-1086
1066,-1131
1067,-1496
1068,-1339
1069,-1756
1070,-1578
1071,-1581
1072,-1093
1073,-826
1074,-333
1075,-400
1076,-514
1077,-506
1078,-392
1079,119
1080,498
1081,894
1082,1275
1083,1795
1084,2913
1085,3245
1086,3494
1087,3291
1088,2962
1089,2071
1090,908
1091,-219
1092,-603
1093,-805
1094,-1105
1095,-1074
1096,-1044
1097,-1104
1098,-1029
1099,-817
1100,-633
1101,-572
1102,-568
1103,-461
1104,-387
1105,-482
1106,-433
1107,-372
1108,-449
1109,-444
1110,-623
1111,-856
1112,-641
1113,-654
1114,-562
1115,-569
1116,-620
1117,-493
1118,-523
1119,-672
1120,-603
1121,-663
1122,-662
1123,-688
1124,-659
1125,-549
1126,-488
1127,-540
1128,-575
1129,-494
1130,-378
1131,-180
1132,360
1133,302
1134,423
1135,542
1136,484
1137,149
1138,-334
1139,-582
1140,-675
1141,-835
1142,-952
1143,-1165
1144,-1170
1145,-1209
1146,-1005
1147,-949
1148,-1773
1149,-1145
1150,1180
1151,12389
1152,9224
1153,967
1154,39
1155,-1058
1156,-1088
1157,-1542
1158,-1286
1159,-1191
1160,-1470
1161,-1457
1162,-1453
1163,-1000
1164,-538
1165,-409
1166,-532
1167,-510
1168,-310
1169,-63
1170,417
1171,850
1172,1599
1173,1912
1174,2543
1175,3174
1176,3374
1177,3462
1178,3212
1179,2595
1180,1461
1181,497
1182,-380
1183,-695
1184,-846
1185,-1056
1186,-1116
1187,-1019
1188,-913
1189,-794
1190,-658
1191,-602
1192,-493
1193,-475
1194,-448
1195,-427
1196,-377
1197,-359
1198,-347
1199,-351
1200,-384
1201,-364
1202,-426
1203,-535
1204,-588
1205,-646
1206,-636
1207,-403
1208,-503
1209,-499
1210,-285
1211,-440
1212,-445
1213,-378
1214,-371
1215,-533
1216,-742
1217,-694
1218,-547
1219,-505
1220,-463
1221,-336
1222,-317
1223,71
1224,421
1225,570
1226,447
1227,596
1228,350
1229,198
1230,-74
1231,-697
1232,-779
1233,-825
1234,-1143
1235,-1158
1236,-1120
1237,-1055
1238,-931
1239,-1186
1240,-730
1241,-768
1242,6020
1243,14311
1244,3663
1245,-163
1246,-38
1247,-926
1248,-805
1249,-1358
1250,-1201
1251,-1533
1252,-1450
1253,-1399
1254,-1106
1255,-855
1256,-570
1257,-485
1258,-510
1259,-503
1260,35
1261,202
1262,796
1263,1461
1264,1949
1265,2434
1266,3258
1267,3513
1268,3650
1269,3621
1270,3196
1271,2112
1272,1069
1273,-83
1274,-485
1275,-726
1276,-984
1277,-1007
1278,-945
1279,-826
1280,-824
1281,-728
1282,-637
1283,-539
1284,-526
1285,-450
1286,-476
1287,-430
1288,-214
1289,-61
1290,-144
1291,-317
1292,-389
1293,-422
1294,-476
1295,-601
1296,-530
1297,-428
1298,-576
1299,-524
1300,-257
1301,-479
1302,-543
1303,-547
1304,-602
1305,-645
1306,-521
1307,-609
1308,-723
1309,-645
1310,-390
1311,-340
1312,-114
1313,-78
1314,130
1315,304
1316,689
1317,375
1318,-135
1319,-488
1320,-769
1321,-988
1322,-995
1323,-1285
1324,-1617
1325,-1424
1326,-931
1327,-918
1328,-1751
1329,-913
1330,936
1331,12399
1332,9198
1333,749
1334,-111
1335,-877
1336,-1110
1337,-1430
1338,-1253
1339,-1499
1340,-1807
1341,-1570
1342,-1404
1343,-995
1344,-660
1345,-594
1346,-560
1347,-372
1348,-282
1349,-15
1350,622
1351,796
1352,1510
1353,2059
1354,2484
1355,3033
1356,3440
1357,3636
1358,3378
1359,2733
1360,1331
1361,232
1362,-524
1363,-575
1364,-1020
1365,-988
1366,-944
1367,-1065
1368,-1092
1369,-723
1370,-613
1371,-527
1372,-576
1373,-595
1374,-595
1375,-464
1376,-438
1377,-354
1378,-200
1379,-272
1380,-552
1381,-476
1382,-509
1383,-539
1384,-515
1385,-326
1386,-213
1387,-545
1388,-750
1389,-654
1390,-506
1391,-483
1392,-577
1393,-729
1394,-598
1395,-480
1396,-558
1397,-499
1398,-389
1399,-237
1400,-54
1401,42
1402,221
1403,484
1404,493
1405,472
1406,-14
1407,-267
1408,-655
1409,-1029
1410,-1047
1411,-1139
1412,-1452
1413,-1454
1414,-1137
1415,-1149
1416,-1053
1417,-786
1418,-284
1419,7471
1420,13976
1421,3257
1422,-517
1423,-532
1424,-1425
1425,-1233
1426,-1551
1427,-1329
1428,-1772
1429,-1690
1430,-1617
1431,-1110
1432,-819
1433,-626
1434,-531
1435,-624
1436,-526
1437,-99
1438,333
1439,703
1440,1442
1441,2076
1442,2422
1443,3224
1444,3364
1445,4050
1446,3651
1447,3086
1448,1735
1449,869
1450,-127
1451,-665
1452,-776
1453,-1025
1454,-1234
1455,-1149
1456,-987
1457,-918
1458,-766
1459,-638
1460,-511
1461,-536
1462,-594
1463,-455
1464,-491
1465,-448
1466,-400
1467,-388
1468,-407
1469,-370
1470,-319
1471,-371
1472,-522
1473,-700
1474,-617
1475,-642
1476,-624
1477,-516
1478,-482
1479,-415
1480,-530
1481,-530
1482,-596
1483,-596
1484,-539
1485,-514
1486,-604
1487,-524
1488,-517
1489,-495
1490,-531
1491,-567
1492,-495
1493,-411
1494,-438
1495,-280
1496,84
1497,304
1498,561
1499,560
1500,445
1501,66
1502,-121
1503,-479
1504,-772
1505,-869
1506,-970
1507,-1391
1508,-1350
1509,-1279
1510,-992
1511,-1097
1512,-944
1513,-503
1514,4150
1515,14769
1516,4962
1517,228
1518,241
1519,-1324
1520,-965
1521,-1463
1522,-1199
1523,-1605
1524,-1710
1525,-1466
1526,-1170
1527,-780
1528,-607
1529,-706
1530,-545
1531,-590
1532,-306
1533,75
1534,506
1535,853
1536,1483
1537,2147
1538,2890
1539,3404
1540,3697
1541,3641
1542,3329
1543,2319
1544,1279
1545,215
1546,-561
1547,-898
1548,-943
1549,-1207
1550,-1167
1551,-1116
1552,-741
1553,-641
1554,-582
1555,-544
1556,-450
1557,-460
1558,-463
1559,-507
1560,-385
1561,-316
1562,-324
1563,-390
1564,-422
1565,-450
1566,-416
1567,-222
1568,-461
1569,-376
1570,-500
1571,-648
1572,-529
1573,-439
1574,-504
1575,-577
1576,-520
1577,-622
1578,-611
1579,-515
1580,-580
1581,-621
1582,-489
1583,-542
1584,-467
1585,-175
1586,23
1587,95
1588,299
1589,370
1590,61
1591,93
1592,-214
1593,-332
1594,-517
1595,-1073
1596,-1111
1597,-1252
1598,-1396
1599,-1397
1600,-1260
1601,-1027
1602,-1062
1603,-558
1604,237
1605,7962
1606,13316
1607,3059
1608,-238
1609,-755
1610,-1068
1611,-1184
1612,-1231
1613,-1100
1614,-1616
1615,-1478
1616,-1573
1617,-1108
1618,-772
1619,-604
1620,-692
1621,-524
1622,-434
1623,-88
1624,76
1625,388
1626,1209
1627,1733
1628,2137
1629,2548
1630,3074
1631,3315
1632,3232
1633,2616
1634,1480
1635,604
1636,-263
1637,-580
1638,-951
1639,-1148
1640,-1212
1641,-1086
1642,-1091
1643,-874
1644,-826
1645,-663
1646,-561
1647,-542
1648,-536
1649,-518
1650,-562
1651,-537
1652,-347
1653,-133
1654,-268
1655,-402
1656,-378
1657,-569
1658,-517
1659,-492
1660,-598
1661,-513
1662,-579
1663,-682
1664,-605
1665,-624
1666,-673
1667,-581
1668,-634
1669,-692
1670,-578
1671,-462
1672,-156
1673,66
1674,275
1675,648
1676,543
1677,404
1678,395
1679,-217
1680,-648
1681,-780
1682,-810
1683,-1057
1684,-1466
1685,-1368
1686,-1232
1687,-941
1688,-991
1689,-887
1690,-384
1691,4082
1692,14209
1693,5128
1694,153
1695,455
1696,-1404
1697,-925
1698,-1533
1699,-1207
1700,-1516
1701,-1652
1702,-1633
1703,-1162
1704,-710
1705,-563
1706,-475
1707,-592
1708,-635
1709,-449
1710,-89
1711,306
1712,1035
1713,1692
1714,2233
1715,3088
1716,3537
1717,3808
1718,3921
1719,3679
1720,2686
1721,1286
1722,144
1723,-399
1724,-716
1725,-927
1726,-1011
1727,-1029
1728,-1054
1729,-861
1730,-666
1731,-555
1732,-483
1733,-458
1734,-548
1735,-548
1736,-477
1737,-485
1738,-402
1739,-277
1740,-343
1741,-515
1742,-564
1743,-511
1744,-447
1745,-436
1746,-539
1747,-474
1748,-492
1749,-425
1750,-502
1751,-684
1752,-631
1753,-548
1754,-586
1755,-546
1756,-575
1757,-577
1758,-575
1759,-526
1760,-526
1761,-524
1762,-587
1763,-568
1764,-601
1765,-626
1766,-645
1767,-594
1768,-590
1769,-483
1770,-451
1771,-321
1772,177
1773,239
1774,238
1775,249
1776,172
1777,229
1778,-183
1779,-578
1780,-839
1781,-932
1782,-1346
1783,-1598
1784,-1712
1785,-1161
1786,-1201
1787,-821
1788,-1694
1789,-980
1790,107
1791,10481
1792,11830
1793,1615
1794,-79
1795,-586
1796,-1249
1797,-1298
1798,-1223
1799,-1205
1800,-1575
1801,-1404
1802,-1467
1803,-979
1804,-729
1805,-540
1806,-493
1807,-515
1808,-343
1809,-11
1810,136
1811,489
1812,1231
1813,2055
1814,2473
1815,2782
1816,3226
1817,3743
1818,3446
1819,3152
1820,2060
1821,1068
1822,-2
1823,-525
1824,-757
1825,-861
1826,-924
1827,-1050
1828,-893
1829,-874
1830,-698
1831,-581
1832,-458
1833,-464
1834,-464
1835,-480
1836,-416
1837,-418
1838,-334
1839,-311
1840,-179
1841,-355
1842,-496
1843,-465
1844,-501
1845,-550
1846,-598
1847,-526
1848,-465
1849,-551
1850,-607
1851,-497
1852,-501
1853,-478
1854,-442
1855,-496
1856,-615
1857,-547
1858,-472
1859,-560
1860,-549
1861,-538
1862,-518
1863,-504
1864,-512
1865,-553
1866,-572
1867,-537
1868,-571
1869,-633
1870,-583
1871,-511
1872,-248
1873,-39
1874,58
1875,389
1876,521
1877,766
1878,760
1879,386
1880,-252
1881,-576
1882,-830
1883,-1075
1884,-1336
1885,-1584
1886,-1458
1887,-1273
1888,-933
1889,-1420
1890,-994
1891,930
1892,12000
1893,9474
1894,1717
1895,-261
1896,-1028
1897,-1329
1898,-1711
1899,-1533
1900,-1417
1901,-1793
1902,-1611
1903,-1491
1904,-861
1905,-624
1906,-655
1907,-647
1908,-698
1909,-623
1910,-212
1911,212
1912,532
1913,1158
1914,1575
1915,2207
1916,3042
1917,3065
1918,3421
1919,2972
1920,2693
1921,1240
1922,556
1923,-231
1924,-622
1925,-1026
1926,-1178
1927,-1243
1928,-1278
1929,-1226
1930,-1049
1931,-780
1932,-620
1933,-640
1934,-545
1935,-486
1936,-539
1937,-502
1938,-425
1939,-329
1940,-407
1941,-544
1942,-629
1943,-671
1944,-633
1945,-503
1946,-573
1947,-635
1948,-648
1949,-632
1950,-570
1951,-420
1952,-585
1953,-708
1954,-689
1955,-707
1956,-754
1957,-664
1958,-771
1959,-771
1960,-615
1961,-534
1962,-520
1963,-164
1964,165
1965,99
1966,260
1967,364
1968,500
1969,-173
1970,-523
1971,-797
1972,-917
1973,-1071
1974,-1372
1975,-1729
1976,-1365
1977,-1308
1978,-1053
1979,-1288
1980,-925
1981,-948
1982,5462
1983,13806
1984,4421
1985,-42
1986,-175
1987,-1148
1988,-1011
1989,-1469
1990,-1254
1991,-1595
1992,-1647
1993,-1597
1994,-1335
1995,-830
1996,-571
1997,-530
1998,-401
1999,-340
2000,2068
2001,1424
2002,393
2003,-32
2004,-760
2005,-815
2006,-830
2007,-891
2008,-1166
2009,-879
2010,-931
2011,-718
2012,-549
2013,-418
2014,-401
2015,-359
2016,-199
2017,149
2018,391
2019,590
2020,651
2021,772
2022,487
2023,20
2024,-398
2025,-532
2026,-605
2027,-645
2028,-682
2029,-695
2030,-731
2031,-722
2032,-703
2033,-666
2034,-645
2035,-654
2036,-622
2037,-558
2038,-505
2039,-470
2040,-491
2041,-524
2042,-510
2043,-546
2044,-597
2045,-679
2046,-671
2047,-655
2048,-648
2049,-639
2050,-646
2051,-689
2052,-660
2053,-644
2054,-558
2055,-640
2056,-719
2057,-561
2058,-475
2059,-802
2060,-1119
2061,-1254
2062,4727
2063,12618
2064,5229
2065,-304
2066,-729
2067,-1005
2068,-931
2069,-1236
2070,-962
2071,-1215
2072,-1440
2073,-1295
2074,-1126
2075,-764
2076,-551
2077,-652
2078,-661
2079,-562
2080,-458
2081,-352
2082,-276
2083,-184
2084,-142
2085,-86
2086,-41
2087,-13
2088,-61
2089,-95
2090,-148
2091,-411
2092,-599
2093,-648
2094,-735
2095,-775
2096,-735
2097,-724
2098,-685
2099,-662
2100,-622
2101,-560
2102,-579
2103,-596
2104,-597
2105,-572
2106,-568
2107,-458
2108,-520
2109,-767
2110,-786
2111,-659
2112,-835
2113,-1957
2114,-1550
2115,1302
2116,11758
2117,9115
2118,792
2119,-768
2120,-727
2121,-1001
2122,-977
2123,-863
2124,-984
2125,-1350
2126,-1183
2127,-1377
2128,-1072
2129,-855
2130,-795
2131,-604
2132,-306
2133,36
2134,292
2135,682
2136,806
2137,1022
2138,1014
2139,1076
2140,635
2141,125
2142,-324
2143,-503
2144,-584
2145,-733
2146,-818
2147,-864
2148,-900
2149,-836
2150,-770
2151,-724
2152,-795
2153,-736
2154,-477
2155,-561
2156,-873
2157,-995
2158,-551
2159,7880
2160,11691
2161,2377
2162,-417
2163,-524
2164,-859
2165,-768
2166,-886
2167,-973
2168,-1337
2169,-1229
2170,-1313
2171,-1014
2172,-771
2173,-641
2174,-558
2175,-439
2176,-179
2177,185
2178,522
2179,782
2180,962
2181,977
2182,948
2183,550
2184,38
2185,-349
2186,-531
2187,-566
2188,-650
2189,-697
2190,-729
2191,-738
2192,-766
2193,-798
2194,-712
2195,-512
2196,-513
2197,-541
2198,-655
2199,4074
2200,11784
2201,3172
2202,-866
2203,-463
2204,-569
2205,-426
2206,-745
2207,-728
2208,-930
2209,-1004
2210,-1073
2211,-992
2212,-814
2213,-663
2214,-516
2215,-226
2216,166
2217,445
2218,633
2219,784
2220,1006
2221,1113
2222,1010
2223,792
2224,285
2225,-226
2226,-513
2227,-671
2228,-722
2229,-750
2230,-680
2231,-610
2232,-264
2233,-234
2234,-251
2235,-498
2236,2951
2237,11369
2238,5405
2239,-584
2240,-421
2241,-783
2242,-688
2243,-939
2244,-793
2245,-1030
2246,-1135
2247,-1101
2248,-1012
2249,-708
2250,-508
2251,-322
2252,-129
2253,205
2254,405
2255,669
2256,908
2257,1052
2258,1212
2259,1172
2260,997
2261,561
2262,-168
2263,-533
2264,-568
2265,-636
2266,-669
2267,-755
2268,-745
2269,-416
2270,-393
2271,-566
2272,-770
2273,2575
2274,11351
2275,6345
2276,-279
2277,-231
2278,-910
2279,-717
2280,-1008
2281,-889
2282,-1234
2283,-1456
2284,-1387
2285,-1353
2286,-954
2287,-659
2288,-540
2289,-455
2290,-278
2291,-143
2292,-62
2293,19
2294,181
2295,275
2296,494
2297,415
2298,217
2299,-220
2300,-536
2301,-679
2302,-705
2303,-682
2304,-846
2305,-936
2306,-724
2307,-531
2308,-691
2309,-715
2310,-375
2311,8071
2312,11432
2313,444
2314,-748
2315,-635
2316,-818
2317,-783
2318,-842
2319,-940
2320,-1323
2321,-1127
2322,-1184
2323,-782
2324,-517
2325,-481
2326,-509
2327,-509
2328,-425
2329,-255
2330,-159
2331,-66
2332,168
2333,292
2334,299
2335,45
2336,-215
2337,-525
2338,-663
2339,-552
2340,-548
2341,-660
2342,-707
2343,-432
2344,-604
2345,-795
2346,-981
2347,3665
2348,12595
2349,5255
2350,-828
2351,-340
2352,-1006
2353,-785
2354,-1016
2355,-816
2356,-1142
2357,-1218
2358,-1048
2359,-1047
2360,-745
2361,-603
2362,-634
2363,-590
2364,-493
2365,-385
2366,-318
2367,-190
2368,-104
2369,294
2370,444
2371,255
2372,-81
2373,-370
2374,-412
2375,-528
2376,-641
2377,-743
2378,-807
2379,-846
2380,-578
2381,-537
2382,-847
2383,-809
2384,1406
2385,10363
2386,7882
2387,-515
2388,-420
2389,-605
2390,-595
2391,-851
2392,-741
2393,-989
2394,-1167
2395,-1107
2396,-1137
2397,-845
2398,-639
2399,-536
2400,-470
2401,-279
2402,-124
2403,-16
2404,112
2405,363
2406,738
2407,787
2408,833
2409,375
2410,-130
2411,-399
2412,-477
2413,-602
2414,-643
2415,-699
2416,-656
2417,-627
2418,-551
2419,-454
2420,-328
2421,-200
2422,-115
2423,3
2424,-54
2425,-165
2426,-278
2427,-322
2428,-387
2429,-413
2430,-443
2431,-485
2432,-520
2433,-523
2434,-476
2435,-453
2436,-442
2437,-411
2438,-394
2439,-337
2440,-240
2441,-229
2442,-172
2443,-1
2444,77
2445,-1138
2446,-1065
2447,1716
2448,10426
2449,7018
2450,472
2451,-849
2452,-732
2453,-615
2454,-760
2455,-567
2456,-700
2457,-874
2458,-757
2459,-696
2460,-516
2461,-356
2462,-300
2463,-338
2464,-386
2465,-450
2466,-344
2467,-275
2468,-200
2469,0
2470,126
2471,341
2472,445
2473,439
2474,314
2475,139
2476,-105
2477,-257
2478,-317
2479,-342
2480,-376
2481,-469
2482,-553
2483,-559
2484,-540
2485,-519
2486,-504
2487,-458
2488,-456
2489,-428
